osm_bus_stop;keep
osm_wpt_symbol;
osm_ft_link;
osm_ref_58_relation;
osm_waterway_58_sign;
osm_genus;keep
osm_monument_58_natural;
osm_natural_protection;keep
osm_diet_58_vegan;
osm_payment_58_ep_geldkarte;
osm_animal;keep
osm_shop_58_music_58_cd;
osm_shop_58_music_58_new;
osm_shop_58_music_58_vinyl;
osm_passenger_informations_display;
osm_item_58_de;
osm_recycling_58_books;
osm_recycling_58_cardboard;
osm_recycling_58_cartons;
osm_recycling_58_electrical_appliances;
osm_recycling_58_green_waste;
osm_recycling_58_magazines;
osm_recycling_58_newspaper;
osm_recycling_58_paper_packaging;
osm_recycling_58_plastic;
osm_recycling_58_plastic_bottles;
osm_recycling_58_plastic_packaging;
osm_recycling_58_small_appliances;
osm_recycling_58_waste;
osm_recycling_58_wood;
osm_voltage_45_high;
osm_voltage_45_low;
osm_max_age;keep
osm_shared_taxi;
osm_display;
osm_visibility;
osm_artist_name;
osm_forestry;keep
osm_maxheight;keep
osm_healthcare_58_speciality;
osm_geological;
osm_genus_58_de;
osm_name_58_botanical;
osm_date;
osm_artwork_type;
osm_mine;
osm_mineshaft_type;
osm_resource;
osm_fenced;
osm_logo;
osm_attraction;keep
osm_railway_58_signal_58_minor;
osm_railway_58_signal_58_minor_58_form;
osm_artwork_58_ref;
osm_material_58_de;
osm_railway_58_local_operated;
osm_railway_58_switch;
osm_railway_58_turnout_side;
osm_demolished;
osm_demolished_58_name;
osm_demolished_58_tourism;
osm_inscription;
osm_automated;
osm_addr_58_unit;
osm_seamark_58_small_craft_facility_58_2_58_category;
osm_old_ref;
osm_service;keep
osm_food;
osm_social_facility;keep
osm_diaper;
osm_payment_58_v_pay;
osm_industrial;keep
osm_payment_58_paypal;
osm_payment_58_giro_card;
osm_overwrite;
osm_camera_58_mount;
osm_surveillance_58_type;
osm_contents;
osm_endpoint_58_busbar;
osm_endpoint_58_building;
osm_aeroway;keep
osm_abandoned_58_natural;
osm_compressed_air_58_valves;
osm_valves;
osm_payment_58_china_unionpay;
osm_payment_58_eaps;
osm_payment_58_visa_electron;
osm_park_ride;keep
osm_drinkable;keep
osm_maxwidth;keep
osm_construction;
osm_disused_58_wheelchair;
osm_club;keep
osm_massage;
osm_disuded_58_shop;
osm_artwork_58_title;
osm_artwork_58_type;
osm_capacity_58_parent;
osm_capacity_58_women;
osm_internet_access_58_provider;
osm_centralkey;
osm_maxweight;
osm_disused_58_office;
osm_elevator;keep
osm_comment;
osm_entrance_58_train;
osm_contact_58_google_plus;
osm_railway_58_signal_58_speed_limit;
