"file_in";"ObjAB";"ObjAG";"ObjAGN";"ObjArt";"ObjArtN";"Geometrie";"Feld_in";"Quelle";"Dateiname_out";"Feld_out";"Wert_out";"Prioritaet";"Out_ID1"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4001";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4110";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4120";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4130";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4140";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4150";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4160";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"4170";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"Spezi";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerSportFreizeitUndErholung.shp";"BWF";"";3;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"Spezi";"ATKIS/ALKIS";"AX_SportFreizeitUndErholungsflaeche.shp";"FKT";"";3;"OldID_str"
"StehendeGewaesser.shp";"UmweltVersorgung";1100;"UmweltVersorgung";"1100_011";"StehendeGewaesser";"Polygon";"nurGeometrie";"ATKIS/ALKIS";"AX_StehendesGewaesser.shp";"";"";3;"OldID_str"
